doc_id,source_type,supplier,raw_item_name,spec,unit,prev_unit_price,new_unit_price,effective_date
DOC-000000,PDF,푸른포장(예시),냉감튀2K,2kg×6PK/BOX,BOX,47500,49100,2025-04-03
DOC-000001,PDF,그린팜(예시),나초칩454G,454g×12PK/BOX,BOX,52000,55200,2026-06-19
DOC-000002,PDF,대양수산(예시),자스민쌀10K,10kg/PO,PO,52500,52700,2025-05-30
DOC-000003,수기,온누리농산(예시),소불고기감2kg,2kg×4PK/BOX,BOX,64000,70700,2026-01-20
DOC-000004,수기,바다원(예시),자스민쌀10K,10kg/PO,PO,56000,56600,2026-12-11
DOC-000005,PDF,한빛유통(예시),방울토마토2kg,2kg/PK,PK,35000,38700,2025-12-05
DOC-000006,PDF,푸른포장(예시),스모크BBQ소스,2kg×6PK/BOX,BOX,59000,61100,2025-08-05
DOC-000007,XLSX,한빛유통(예시),스모크BBQ소스,2kg×6PK/BOX,BOX,36500,37900,2025-06-12
DOC-000008,PDF,푸른포장(예시),토마토살사S/O,4kg/PK,PK,51500,54200,2025-12-27
DOC-000009,PDF,바다원(예시),블랙빈2.5K,2.5kg×6CAN/BOX,BOX,32000,33300,2026-07-07
DOC-000010,수기,대양수산(예시),방울토마토2kg,2kg/PK,PK,39000,40900,2026-06-20
DOC-000011,수기,한결유통(예시),냉동돈전지,10kg/BOX,BOX,60500,63600,2025-03-27
DOC-000012,PDF,한빛유통(예시),자스민쌀10K,10kg/PO,PO,56500,59200,2026-03-08
DOC-000013,PDF,가온푸드(예시),슈레드치즈2.5K,2.5kg×4PK/BOX,BOX,77000,81100,2025-06-30
DOC-000014,PDF,대양수산(예시),종이보울500,500EA/BOX,BOX,43000,48900,2025-09-25
DOC-000015,PDF,정성F&B(예시),투명리드500,500EA/BOX,BOX,37000,42900,2026-08-12
DOC-000016,XLSX,한결유통(예시),방울토마토2kg,2kg/PK,PK,25000,24600,2026-08-26
DOC-000017,PDF,대양수산(예시),자스민쌀10K,10kg/PO,PO,42000,44600,2025-11-26
DOC-000018,IMAGE,가온푸드(예시),할라피뇨슬라이스,기존 10kg / 변경 9kg,BOX,36000,36400,2025-07-01
DOC-000019,수기,푸른포장(예시),라임30과,30EA/BOX,BOX,9000,8900,2026-10-03
DOC-000020,XLSX,새봄식품(예시),소불고기감2kg,2kg×4PK/BOX,BOX,83000,90400,2026-09-16
DOC-000021,PDF,동해상사(예시),할라피뇨슬라이스,3kg×6CAN/BOX,BOX,37000,37500,2026-03-16
DOC-000022,XLSX,정성F&B(예시),밀또띠아10인치,12매×10PK/BOX,BOX,40500,42700,2025-11-02
DOC-000023,XLSX,한결유통(예시),모짜렐라2K,2kg×4PK/BOX,BOX,108500,111600,2026-07-31
DOC-000024,수기,가온푸드(예시),소불고기감2kg,2kg×4PK/BOX,BOX,99500,102600,
DOC-000025,수기,동해상사(예시),밀또띠아10인치,12매×10PK/BOX,BOX,59000,62700,2025-05-17
DOC-000026,XLSX,새봄식품(예시),자스민쌀10K,10kg/PO,PO,59500,60700,2026-11-25
DOC-000027,PDF,가온푸드(예시),냉동새우살900,900g×10PK/BOX,BOX,95000,108400,2025-08-19
DOC-000028,PDF,한빛유통(예시),소불고기감2kg,2kg×4PK/BOX,BOX,113000,119800,2026-05-19
DOC-000029,PDF,푸른포장(예시),라임30과,30EA/BOX,BOX,9000,9500,2025-10-02
DOC-000030,XLSX,한빛유통(예시),아보카도30입,30EA/BOX,BOX,29000,31400,2026-12-11
DOC-000031,XLSX,새봄식품(예시),자스민쌀10K,10kg/PO,PO,38500,40100,2025-12-27
DOC-000032,PDF,온누리농산(예시),고수1kg,1kg/단,단,34500,40300,
DOC-000033,XLSX,바다원(예시),투명리드500,500EA/BOX,BOX,57500,62100,2025-12-11
DOC-000034,PDF,가온푸드(예시),방울토마토2kg,2kg/PK,PK,24000,31000,2026-10-07
DOC-000035,PDF,한빛유통(예시),냉동새우살900,900g×10PK/BOX,BOX,111500,122400,2026-08-24
DOC-000036,수기,온누리농산(예시),사워크림1K,1kg×6PK/BOX,BOX,65000,71100,2026-01-29
DOC-000037,PDF,동해상사(예시),냉동돈전지,10kg/BOX,BOX,116000,123700,2025-05-07
DOC-000038,IMAGE,온누리농산(예시),토마토살사S/O,기존 10kg / 변경 9kg,PK,73000,86700,2025-09-05
DOC-000039,PDF,그린팜(예시),스모크BBQ소스,기존 1kg / 변경 4단,KG/단,73500,78100,2026-09-14
DOC-000040,IMAGE,동해상사(예시),토마토살사S/O,4kg/PK,PK,64000,72300,2026-12-14
DOC-000041,IMAGE,한빛유통(예시),고수1kg,1kg/단,단,6500,6400,2026-10-12
DOC-000042,PDF,온누리농산(예시),모짜렐라2K,2kg×4PK/BOX,BOX,70500,72500,2026-12-03
DOC-000043,PDF,온누리농산(예시),냉동새우살900,900g×10PK/BOX,BOX,153500,180900,2025-02-25
DOC-000044,수기,동해상사(예시),슈레드치즈2.5K,2.5kg×4PK/BOX,BOX,46500,46300,2025-11-03
DOC-000045,수기,정성F&B(예시),방울토마토2kg,2kg/PK,PK,18500,21500,2025-01-07
DOC-000046,PDF,그린팜(예시),라임30과,30EA/BOX,BOX,37000,42500,2025-02-18
DOC-000047,PDF,미래식자재(예시),종이보울500,500EA/BOX,BOX,42000,44800,2025-08-02
DOC-000048,IMAGE,정성F&B(예시),로메인쉬레드,1kg/PK,PK,32500,34200,2026-02-27
DOC-000049,IMAGE,동해상사(예시),냉감튀2K,2kg×6PK/BOX,BOX,41500,43800,2025-10-20
DOC-000050,XLSX,정성F&B(예시),밀또띠아10인치,12매×10PK/BOX,BOX,47000,50000,2025-10-25
DOC-000051,XLSX,정성F&B(예시),슈레드치즈2.5K,2.5kg×4PK/BOX,BOX,52500,52100,2026-12-10
DOC-000052,수기,온누리농산(예시),냉동오징어2K,기존 10kg / 변경 9kg,BOX,150500,158900,2026-12-30
DOC-000053,IMAGE,새봄식품(예시),나초칩454G,454g×12PK/BOX,BOX,67500,71500,2025-02-22
DOC-000054,XLSX,정성F&B(예시),스모크BBQ소스,2kg×6PK/BOX,BOX,62000,67500,2025-09-12
DOC-000055,IMAGE,온누리농산(예시),냉감튀2K,2kg×6PK/BOX,BOX,65500,69400,2026-07-25
DOC-000056,PDF,온누리농산(예시),스모크BBQ소스,2kg×6PK/BOX,BOX,48500,47600,2025-09-21
DOC-000057,PDF,가온푸드(예시),할라피뇨슬라이스,3kg×6CAN/BOX,BOX,80000,86200,2025-12-14
DOC-000058,PDF,대양수산(예시),밀또띠아10인치,12매×10PK/BOX,BOX,63500,69600,2026-01-13
DOC-000059,IMAGE,온누리농산(예시),나초칩454G,454g×12PK/BOX,BOX,59000,64000,2025-04-05
DOC-000060,PDF,온누리농산(예시),아보카도30입,30EA/BOX,BOX,8500,10500,2025-11-25
DOC-000061,PDF,새봄식품(예시),스모크BBQ소스,2kg×6PK/BOX,BOX,75000,82500,2025-09-25
DOC-000062,XLSX,온누리농산(예시),로메인쉬레드,1kg/PK,PK,34500,36600,2025-10-29
DOC-000063,PDF,대양수산(예시),모짜렐라2K,2kg×4PK/BOX,BOX,64000,67600,2025-10-06
DOC-000064,XLSX,대양수산(예시),사워크림1K,1kg×6PK/BOX,BOX,73500,84700,2025-01-02
DOC-000065,PDF,그린팜(예시),냉동돈전지,10kg/BOX,BOX,55500,56400,2025-06-27
DOC-000066,PDF,한결유통(예시),종이보울500,500EA/BOX,BOX,42500,45000,2026-05-21
DOC-000067,XLSX,정성F&B(예시),아보카도30입,30EA/BOX,BOX,19500,19900,2025-08-03
DOC-000068,XLSX,온누리농산(예시),고수1kg,1kg/단,단,19000,19400,2026-12-24
DOC-000069,PDF,한결유통(예시),소불고기감2kg,2kg×4PK/BOX,BOX,104000,113800,2025-11-03
